Date,Open*,High,Low,Close,Volume,Market Cap,
2-Jul-2021,$0.03,$0.03,$0.03,$0.026200,"$13,447,486","$97,122,728",-43.31%
3-Jul-2021,$0.03,$0.03,$0.03,$0.027300,"$6,475,989","$101,186,615",-44.55%
4-Jul-2021,$0.03,$0.03,$0.03,$0.031980,"$28,945,745","$118,537,153",-26.40%
5-Jul-2021,$0.03,$0.04,$0.03,$0.033130,"$51,952,424","$124,071,808",-19.82%
6-Jul-2021,$0.03,$0.04,$0.03,$0.042300,"$98,430,450","$158,455,422",1.34%
7-Jul-2021,$0.04,$0.05,$0.04,$0.037930,"$63,417,774","$142,126,524",-1.04%
8-Jul-2021,$0.04,$0.04,$0.03,$0.033400,"$46,471,205","$125,161,960",-8.34%
9-Jul-2021,$0.03,$0.04,$0.03,$0.033590,"$29,370,406","$125,955,641",-14.57%
10-Jul-2021,$0.03,$0.04,$0.03,$0.035300,"$35,502,400","$132,378,116",2.53%
11-Jul-2021,$0.04,$0.04,$0.04,$0.036710,"$41,446,403","$137,730,071",12.19%
12-Jul-2021,$0.04,$0.04,$0.03,$0.034210,"$22,637,903","$128,398,536",9.86%
13-Jul-2021,$0.03,$0.03,$0.03,$0.032700,"$18,595,660","$122,733,357",-2.07%
14-Jul-2021,$0.03,$0.04,$0.03,$0.036300,"$32,869,582","$136,262,090",8.13%
15-Jul-2021,$0.04,$0.04,$0.03,$0.033700,"$49,726,433","$126,490,371",-2.77%
16-Jul-2021,$0.03,$0.04,$0.03,$0.030810,"$21,353,496","$115,718,795",-9.94%
17-Jul-2021,$0.03,$0.03,$0.03,$0.030620,"$14,219,797","$114,985,673",-8.95%
18-Jul-2021,$0.03,$0.03,$0.03,$0.031020,"$9,023,772","$116,504,576",-0.10%
19-Jul-2021,$0.03,$0.03,$0.03,$0.028500,"$10,092,271","$107,067,051",-4.84%
20-Jul-2021,$0.03,$0.03,$0.02,$0.024910,"$12,571,772","$93,564,471",-15.36%
21-Jul-2021,$0.02,$0.03,$0.02,$0.028110,"$14,452,340","$105,595,534",19.57%
22-Jul-2021,$0.03,$0.03,$0.03,$0.028510,"$13,278,303","$107,137,792",26.04%
23-Jul-2021,$0.03,$0.03,$0.03,$0.029210,"$10,740,641","$109,819,553",20.11%
24-Jul-2021,$0.03,$0.03,$0.03,$0.030820,"$25,673,917","$115,891,988",26.31%
25-Jul-2021,$0.03,$0.04,$0.03,$0.038510,"$60,807,620","$144,808,716",75.05%
26-Jul-2021,$0.04,$0.04,$0.03,$0.033510,"$55,765,379","$126,422,474",54.21%
27-Jul-2021,$0.03,$0.04,$0.03,$0.035600,"$41,067,368","$134,356,310",54.65%
